"province","city","county","post_code","area_code"
"北京市","北京市","通县","101100","010"
"北京市","北京市","东城区","100010","010"
"北京市","北京市","西城区","100032","010"
"北京市","北京市","崇文区","100061","010"
"北京市","北京市","宣武区","100054","010"
"北京市","北京市","朝阳区","100020","010"
"北京市","北京市","丰台区","100071","010"
"北京市","北京市","石景山区","100043","010"
"北京市","北京市","海淀区","100080","010"
"北京市","北京市","门头沟区","102300","010"
"北京市","北京市","房山区","102400","010"
"北京市","北京市","通州区","101100","010"
"北京市","北京市","顺义区","101300","010"
"北京市","北京市","昌平区","102200","010"
"北京市","北京市","大兴区","102600","010"
"北京市","北京市","怀柔区","101400","010"
"北京市","北京市","平谷区","101200","010"
"北京市","北京市","密云区","101500","010"
"北京市","北京市","延庆区","102100","010"
"北京市","北京市","北京市","100000","010"
"天津市","天津市","蓟县","301900","022"
"天津市","天津市","滨海新区（原塘沽区）","300450","022"
"天津市","天津市","滨海新区（原汉沽区）","300480","022"
"天津市","天津市","滨海新区（原大港区）","300270","022"
"天津市","天津市","北辰区","300400","022"
"天津市","天津市","大港区","300200","022"
"天津市","天津市","东丽区","300300","022"
"天津市","天津市","汉沽区","300400","022"
"天津市","天津市","河北区","300100","022"
"天津市","天津市","河东区","300100","022"
"天津市","天津市","河西区","300200","022"
"天津市","天津市","红桥区","300100","022"
"天津市","天津市","津南区","300300","022"
"天津市","天津市","南开区","300100","022"
"天津市","天津市","塘沽区","300400","022"
"天津市","天津市","西青区","300300","022"
"天津市","天津市","和平区","300041","022"
"天津市","天津市","武清区","301700","022"
"天津市","天津市","宝坻区","301800","022"
"天津市","天津市","宁河区","301500","022"
"天津市","天津市","静海区","301600","022"
"天津市","天津市","天津市","300000","022"
"天津市","天津市","滨海新区","300450","022"
"河北省","邯郸市","邯郸市","056000","0310"
"河北省","邯郸市","邯山区","056000","0310"
"河北省","邯郸市","丛台区","056000","0310"
"河北省","邯郸市","复兴区","056000","0310"
"河北省","邯郸市","峰峰矿区","056200","0310"
"河北省","邯郸市","临漳县","056600","0310"
"河北省","邯郸市","成安县","056700","0310"
"河北省","邯郸市","大名县","056900","0310"
"河北省","邯郸市","涉县","056400","0310"
"河北省","邯郸市","磁县","056500","0310"
"河北省","邯郸市","魏县","056800","0310"
